,id,prediction
0,1,horse
1,2,horse
2,3,skis
3,4,truck
4,5,skis
5,6,skis
6,7,horse
7,8,tractor
8,9,skis
9,10,skateboard
10,11,truck
11,12,horse
12,13,bike
13,14,bike
14,15,skis
15,16,gazel
16,17,dump_truck
17,18,skis
18,19,skis
19,20,gazel
20,21,dump_truck
21,22,skis
22,23,truck
23,24,truck
24,25,horse
25,26,horse
26,27,bike
27,28,bike
28,29,skis
29,30,horse
30,31,skis
31,32,truck
32,33,truck
33,34,tractor
34,35,tractor
35,36,skis
36,37,horse
37,38,horse
38,39,horse
39,40,tractor
40,41,horse
41,42,bike
42,43,horse
43,44,tractor
44,45,gazel
45,46,horse
46,47,gazel
47,48,truck
48,49,horse
49,50,horse
50,51,bike
51,52,horse
52,53,tractor
53,54,bike
54,55,horse
55,56,skis
56,57,gazel
57,58,tractor
58,59,skis
59,60,tractor
60,61,bike
61,62,horse
62,63,train
63,64,horse
64,65,lawn mower
65,66,dump_truck
66,67,lawn mower
67,68,horse
68,69,dump_truck
69,70,truck
70,71,train
71,72,horse
72,73,train
73,74,horse
74,75,tractor
75,76,bike
76,77,gazel
77,78,lawn mower
78,79,truck
79,80,horse
80,81,tractor
81,82,bike
82,83,train
83,84,bike
84,85,skis
85,86,horse
86,87,horse
87,88,horse
88,89,truck
89,90,tractor
90,91,dump_truck
91,92,bike
92,93,tractor
93,94,horse
94,95,bike
95,96,horse
96,97,gazel
97,98,horse
98,99,truck
99,100,horse
100,101,truck
101,102,horse
102,103,horse
103,104,tractor
104,105,tractor
105,106,tractor
106,107,horse
107,108,skateboard
108,109,tractor
109,110,truck
110,111,horse
111,112,gazel
112,113,truck
113,114,skis
114,115,gazel
115,116,truck
116,117,horse
117,118,truck
118,119,horse
119,120,gazel
120,121,horse
121,122,tractor
122,123,dump_truck
123,124,gazel
124,125,horse
125,126,bike
126,127,skis
127,128,tractor
128,129,gazel
129,130,gazel
130,131,horse
131,132,horse
132,133,horse
133,134,bike
134,135,gazel
135,136,truck
136,137,horse
137,138,bike
138,139,horse
139,140,dump_truck
140,141,horse
141,142,horse
142,143,gazel
143,144,horse
144,145,skis
145,146,gazel
146,147,horse
147,148,truck
148,149,tractor
149,150,truck
150,151,bike
151,152,truck
152,153,skis
153,154,gazel
154,155,horse
155,156,truck
156,157,gazel
157,158,horse
158,159,train
159,160,horse
160,161,tractor
161,162,horse
162,163,tractor
163,164,horse
164,165,horse
165,166,skateboard
166,167,bike
167,168,skateboard
168,169,dump_truck
169,170,dump_truck
170,171,horse
171,172,tractor
172,173,bike
173,174,horse
174,175,gazel
175,176,horse
176,177,horse
177,178,gazel
178,179,tractor
179,180,horse
180,181,horse
181,182,gazel
182,183,gazel
183,184,horse
184,185,tractor
185,186,horse
186,187,horse
187,188,horse
188,189,horse
189,190,horse
190,191,horse
191,192,horse
192,193,bike
193,194,gazel
194,195,truck
195,196,horse
196,197,horse
197,198,skateboard
198,199,skateboard
199,200,truck
200,201,train
201,202,skis
202,203,bike
203,204,bike
204,205,horse
205,206,skis
206,207,horse
207,208,skis
208,209,skis
209,210,skis
210,211,skis
211,212,truck
212,213,horse
213,214,gazel
214,215,horse
215,216,skateboard
216,217,horse
217,218,horse
218,219,horse
219,220,gazel
220,221,truck
221,222,horse
222,223,horse
223,224,horse
224,225,skis
225,226,horse
226,227,skateboard
227,228,skis
228,229,skis
229,230,horse
230,231,horse
231,232,truck
